Time 1, User A, Process 0, Started 
Time 1, User A, Process 0, Resumed 
Time 5, User A, Process 0, Paused 
Time 5, User A, Process 0, Resumed 
Time 6, User A, Process 0, Paused 
Time 6, User A, Process 1, Started 
Time 6, User A, Process 1, Resumed 
Time 7, User A, Process 1, Paused 
Time 7, User B, Process 0, Started 
Time 7, User B, Process 0, Resumed 
Time 9, User B, Process 0, Paused 
Time 9, User A, Process 0, Resumed 
Time 10, User A, Process 0, Paused 
Time 10, User A, Process 1, Resumed 
Time 11, User A, Process 1, Paused 
Time 11, User B, Process 0, Resumed 
Time 13, User B, Process 0, Paused 
Time 13, User A, Process 0, Resumed 
Time 14, User A, Process 0, Paused 
Time 14, User A, Process 1, Resumed 
Time 15, User A, Process 1, Paused 
Time 15, User B, Process 0, Resumed 
Time 17, User B, Process 0, Paused 
Time 17, User A, Process 0, Resumed 
Time 18, User A, Process 0, Paused 
Time 18, User A, Process 1, Resumed 
Time 19, User A, Process 1, Paused 
Time 19, User B, Process 0, Resumed 
Time 21, User B, Process 0, Paused 
Time 21, User A, Process 0, Resumed 
Time 22, User A, Process 0, Paused 
Time 22, User A, Process 1, Resumed 
Time 23, User A, Process 1, Paused 
Time 23, User B, Process 0, Resumed 
Time 25, User B, Process 0, Paused 
Time 25, User A, Process 0, Resumed 
Time 26, User A, Process 0, Paused 
Time 26, User A, Process 1, Resumed 
Time 27, User A, Process 1, Paused 
Time 27, User B, Process 0, Resumed 
Time 28, User B, Process 0, Paused 
Time 28, User B, Process 0, Finished 
Time 28, User A, Process 0, Resumed 
Time 30, User A, Process 0, Paused 
Time 30, User A, Process 1, Resumed 
Time 32, User A, Process 1, Paused 
Time 32, User A, Process 0, Resumed 
Time 33, User A, Process 0, Paused 
Time 33, User A, Process 0, Finished 
Time 33, User A, Process 1, Resumed 
Time 35, User A, Process 1, Paused 
Time 35, User A, Process 1, Resumed 
Time 39, User A, Process 1, Paused 
Time 39, User A, Process 1, Resumed 
Time 42, User A, Process 1, Paused 
Time 42, User A, Process 1, Finished 
